name,cluster
Ethiopia Guji Darii Kojowa Grade 1,1
Ethiopia Tamiru Tadesse Tesema Anaerobic Natural,1
Panama Abu Geisha Lot 6,1
Panama Finca Deborah Afterglow Geisha Natural,1
Castillo El Paraiso,1
Ethiopia Yirgacheffe G1 Natural Asfaw Maru,1
Organic Ethiopia Agaro-Nano Challa,1
Indonesia Lintong Mandheling,1
Ethiopia Sheka Kawo Kamina Natural,1
Papua New Guinea Baroida Honey,1
Benti Nenqa #209 Ethiopia,1
Colombia Cauca El Paraiso,1
Ethiopia Sidama Bona Sweet Natural G1,1
Thailand Doi Pangkhon Dark Roast,1
Ethiopia Chelbessa Danche,1
Kenya Auction Lot,1
Private Reserve Ethiopia Barrel-Aged,1
Ethiopia Gediyo Kochere Shifo Washed G1,1
Colombia Finca La Primavera Sidra,1
Kenya Kirinyaga Kabare Karani AA,1
Sidama Extreme Papilio Natural,1
Indonesia Sumatra Natural Aceh Musara SC19,1
Kenya Wachuri,1
Honduras Anaerobic Natural,1
Haraaz Red,1
Ethiopia Shantawene,1
Panama Mama Cata Geisha Champagne Natural,1
Buna Boka #1,1
San Diego Natural,1
Ethiopia Bombe Mountains,1
Tanzania Peaberry,1
Haraaz Red Yemen,1
Ethiopia Dur Feres Natural,1
Cual Bicicleta,1
Honduras Relationship Coffee Norma Lara,1
Peru San Ignacio Calazobo Lot 2 FTO,1
Ethiopian Yirgacheffe Natural,1
Kona Red Bourbon Anaerobic Washed Uluwehi Farm,1
Ka‘ū Tropical Punch Washed,1
Kona Lactic Natural Black Rock Farm,1
Kona Tropical Punch Washed,1
Red Bourbon Natural Exclusive Reserve,1
Panama Abu Natural ASD Geisha BOP GN11,1
Ethiopia Halo Hartume Daniel Mijane,1
Taiwan Natural Alishan Zhuo-Wu Farm Geisha,1
Gayo Mandheling Specialty Coffee,1
El Salvador Geisha Natural,1
"DR Congo, Gera Village, SOPACDI",1
Ethiopia Shakiso Natural,1
Ethiopia Haro Guta Natural,1
South Africa Elephant Coast Estate Coffea Racemosa,1
Kenya Washed Peaberry Rnyeusi,1
Estelí Nicaragua,1
Ka’u Bourbon Champagne Natural,1
Colombia Ibague Tolima,1
Ethiopia Guji Super-Natural Decaf Water Process,1
Shakiso Natural,1
Ethiopia Guji Buku,1
Wush Wush Ginbo Keffa Ethiopia,1
Honduras COMSA Natural,1
Costa Rica Anaerobic Cordillera de Fuego,1
La Esperanza Colombia Estate,1
Ka‘ū Lactic Natural,1
Ethiopia Guji (Rose Selection),1
Philippines Sitio Belis 1014,1
Colombia Jardines del Eden Pink Bourbon Wine Yeast Honey,1
Bombe Natural Sidama,1
Ethiopia Yirgacheffe Botabaa G1,1
Honduras Las Flores Parainema,1
Kona Liberica Champagne Natural,1
Foothills Series Hambela Ethiopia,1
Kenya AA,1
Ethiopia WORKA,1
Costa Rica Cerro Dragon Geisha Honey,1
Colombia El Paraiso Floral Lychee,1
Costa Rica Canet Musician Mozart,1
Kiunyu Peaberry,1
Costa Rica Geisha Honey COE 2018 2nd Place,1
Nicaragua La Benedicion Pacamara,1
Yemen Mocca Matari,1
Ecuador COE 1st place Arashi Typica Mejorado Washed,1
Kona Naturals,1
Yemen Mocha Khulani,1
Borneo Sabah Arabica,1
Colombia Lagoon Java Anaerobic,1
Colombia La Palma Y El Tucán Gesha Natural,1
Boru Batak Sumatra,1
Sumatra Aceh Gayo Mountain Kenawat Raisin Honey,1
Ethiopia Gera Reserve Anaerobic Natural,1
Peru La Salina,1
Costa Rica La Rejolla Washed Geisha,1
Tanzania Tarime AB,1
Ethiopia Guji Uraga More Floral Kudume Natural,1
Gigesa Natural,1
Mellower Blend,1
Peru Natural Utcubamba,1
El Salvador El Matazano Pacamara,1
Kenya AA TOP Nairobi Rose,1
Kenya Konyu,1
Kenya Gatuyaini,1
Organic Ethiopia Sidama Natural,1
Ethiopia Washed Guji Uraga Welichu,1
Yemen Port of Mokha Al-Durrar,1
Ethiopia Sidamo Shakiso Danbi Uddo Mulish Natural G1,1
Dodora Double,1
Ethiopia Guji Deri Korcha White Honey,1
Yemen Sana’a,1
Icamiabas Fazenda Klem Catuaí Natural,1
Colombia Gesha,1
Panama Auromar Estate Geisha Peaberry,1
Port of Mokha Auction Lot 19: Mohamed Ahmed Al Rumaim,1
Ethiopia Agakiso,1
Candelilla Geisha Natural,1
Haraz Special Red Yemen,1
El Peñon Nicaragua,1
Civet Ethiopia Papilio Sidamo,1
Fazenda Recreio Bourbon Pulped Natural,1
Ethiopia Guji Uraga Wolichu Wachu Anaerobic Natural Process,1
Kenya Nyeri Rumukia Peaberry,1
Sumatra Lintong,1
Ethiopia Bensa Segra Natural,1
Colombia Castillo Fruit Maceration Series (Peach),1
Colombia Castillo Fruit Maceration Series (Grape),1
Colombia La Esperanza Anaerobic,1
Nicaragua Jinotega Hacienda La Bastilla Blue Candy Natural,1
Ethiopia Guji Laayoo Natural,1
Colombia Finca Samboni Gesha Anaerobic Natural,1
Kenya Muranga Gondo,1
El Salvador Loma La GLoria Natural,1
Burundi Nkonge Hill Red Honey,1
Guatemala Don Angel,1
Banko Gotiti Natural,1
Cafe Granja La Esperanza Sudan Rume,1
DR Congo FTO Bourbon SOPACDI,1
Guatemala Santa Felisa Wild Yeast Natural Gesha,1
Ethiopia Oromia Guji Washed,1
El Jocote Natural,1
Colombia Manos Juntas,1
Colombia Antioquia Magico,1
Ecuador Loja Clara Sidra Natural Taza Dorada #2,1
Colombia Valle del Cauca Cerro Azul Geisha,1
Rwanda Kinini Village Natural,1
Sumatra Aceh Gayo Mountain Musara Honey Process,1
Colombia Huila Finca Villabetuila Anaerobic Honey,1
Ethiopia Botabaa,1
Ethiopia Yirgacheffe Worka Gotiti Natural,1
Ethiopia Sidamo Washed,1
Tres Dragones Colombia,1
Papua New Guinea Baroida Estate Natural,1
Ethiopia Lecho Torka,1
Papua New Guinea Timuza,1
Tanzania Ngila Estate SL28,1
Las Flores Colombia,1
Ethiopia Yirgacheffe Worka Sakaro Anaerobic,1
La Avila SL28 El Salvador,1
Ethiopia Natural Guji Blue Donkey 21/01,1
Gesha Village Natural Lot #19,1
Panama Elida Washed Gesha,1
Rwanda Karambi Station Natural,1
Ethiopia Uraga Washed G1,1
El Salvador Finca La Esperanza,1
Ethiopia Anasora Extended Natural Special Lot,1
Kenya Kainamui AB,1
Ethiopia Guji Hambela G1 Kudume Wolicho Honey,1
Ethiopia Guji Wush Wush,1
Nicaragua La Bastilla Estate Anaerobic,1
Philippines Sitio Naguey Natural,1
Panama Static Gesha Natural,1
Colombian Supremo,1
Ethiopia Durato Bombe Natural,1
Elida Natural ASD (Panama),1
Ethiopia Shantawene Natural,1
Berg Wu Championship Selection Yirgacheffe G1 Natural Lot 19/01,1
Ka’u Champagne Natural,1
El Salvador Pacamara Honey,1
Ethiopia Bedessa,1
ASOPCAFA Colombia,1
Costa Rica Bounty Gesha,1
La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,1
Panama Esmeralda Geisha Portón Oro Yeast,1
Kenya Kiambu Gititu AA,1
Costa Rica Farmer’s Project,1
Ethiopia Guji Natural Anaerobic Wush Wush G1,1
Ethiopia Sidama Bona Sweet Natural,1
Kenya,1
Karimikui AA Kenya,1
Peru Natural Jose Herrera Lot 21,1
Panama Elida Natural Catuai,1
Ethiopia Washed Botabaa G1 Lot.22/01,1
Ethiopia Yirgacheffe G1 Idido Natural,1
Crystalina,1
Guatemala San Cristobal,1
Ethiopia Guji Shakiso Dambi Udo Natural Anaerobic,2
Panama Elida Estate Washed,2
El Salvador Finca Hungria,2
Kona Maragogype Natural,2
Brazil COE,2
Ethiopia Sidamo Euphora Special Lot,2
Kona Red Wine Process,2
Panama Hacienda La Esmeralda Ethiopia Accessions,2
Ethiopia Gera Limu,2
Hung Farm,2
Kenya Karatina,2
Bourbon Pointu Natural,2
Private Reserve Panama La Huaca,2
Honduras Los Amigos,2
Ethiopia Wush Wush G1,2
Papua New Guinea Sigri Estate Medium Roast,2
Panama Finca Santa Teresa Summer Gesha,2
Panama Finca Los Lajones Natural,2
Sumatra Ketiara,2
Pink Bourbon Natural Anaerobic Colombia,2
Colombia Finca El Vergal Geisha/Java Natural,2
Ethiopia Wuri Washed,2
Aged Sumatra Ulos Batak 2015,2
Yemen Mocha Harazi,2
Thailand Huai Mae Liam White Honey,2
Colombia Finca Santa Maria,2
Colombia Black Condor,2
Guatemala Villatoro Anaerobic,2
Rwanda Dukunde Kawa,2
Ethiopia Yirgacheffe Botabaa Washed G1 21/01,2
Costa Rica Black Honey,2
Haitian Blue Zombie Desert,2
Sadah Kuhlani Yemen,2
Ethiopia Washed Sidama Nafasha 74158 21/01,2
Ethiopia Tibe Haro Uraga,2
Taiwan Natural Alishan TFU’YA Kakalove Lot,2
Ethiopia Yirgacheffe G1 Mulugeta Tsige,2
Banti Nenga Hambela Wamena,2
Harimau Tiger Sumatra,2
